Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Weight,Price_euros
Xiaomi,Ultrabook,13.3,1920,5,8,356,1.3,999.9
Lenovo,Notebook,17.3,1600,5,8,356,2.8,698
Dell,2 in 1 Convertible,13.3,1920,7,8,1024,1.62,839
HP,Notebook,17.3,1920,5,8,1024,2.5,914
Razer,Gaming,17.3,3840,7,32,1124,3.49,6099
HP,Notebook,13.3,1920,5,8,612,1.49,959
HP,Gaming,17.3,1920,7,16,1380,3.35,1379
HP,Notebook,17.3,1920,7,8,356,2.5,1045
Dell,Gaming,15.6,3840,7,16,1636,2.65,1845
Lenovo,Notebook,15.6,1366,5,4,228,2.1,493
Acer,Notebook,15.6,1920,7,8,1024,2.23,742
Lenovo,Gaming,15.6,1920,7,16,1636,3.2,1749
Lenovo,Gaming,15.6,1920,7,16,612,2.4,1398
Dell,Notebook,15.6,1466,3,6,1024,2.3,439
Dell,Ultrabook,13.3,3840,7,8,356,1.21,1949
Dell,Ultrabook,13.3,1920,7,8,356,1.2,1449
Lenovo,Notebook,15.6,1366,5,8,356,2.2,597
Acer,Notebook,15.6,1920,7,8,1024,2.4,779
Asus,Gaming,17.3,1920,7,16,1380,2.9,1407
HP,Notebook,15.6,1920,3,4,500,2.1,349
Lenovo,Notebook,15.6,1920,5,8,356,2.2,549
Huawei,Ultrabook,13,2160,7,8,612,1.05,1499
Dell,Ultrabook,13.3,1920,7,8,356,1.4,931.88
Lenovo,Notebook,17.3,1600,5,8,1024,2.8,589
HP,Notebook,14,1920,7,8,356,1.63,1031
Dell,Ultrabook,14,1920,5,8,356,1.6,1149
Dell,2 in 1 Convertible,13.3,1920,7,16,612,1.62,1279
Dell,Notebook,15.6,1920,5,8,356,2.2,677.35
Lenovo,2 in 1 Convertible,14,1920,5,8,356,1.74,899
Toshiba,Ultrabook,13.3,1920,7,8,356,1.2,1363
HP,Notebook,15.6,1920,5,8,1024,2.1,794
Dell,Gaming,17.3,1920,7,16,1380,4.42,2456.34
Acer,Notebook,15.6,1920,7,8,356,2.2,832
Dell,Notebook,15.6,1920,7,16,1024,2.3,859.01
Asus,Notebook,15.6,1920,5,8,356,2,769
Asus,Notebook,17.3,1920,5,8,856,2.69,891
HP,Notebook,15.6,1920,7,8,1024,1.9,1269
Asus,Notebook,15.6,1366,3,4,1024,2.37,398.99
Lenovo,Gaming,15.6,1920,7,16,1380,3.2,1499
Dell,Notebook,14,1920,5,8,356,1.6,859
Acer,2 in 1 Convertible,13.3,1920,5,8,356,1.6,689
Dell,Notebook,15.6,1920,7,16,356,2.36,899
Acer,Notebook,15.6,1366,3,4,1024,2.1,390
Asus,Gaming,17.3,1920,7,32,1636,4.7,3890
Acer,Gaming,15.6,1920,5,8,356,2.5,846
Lenovo,Notebook,15.6,1366,3,8,228,2.2,589
Asus,Notebook,17.3,1920,7,8,1252,2.1,1145
Asus,Notebook,17.3,1920,7,8,1252,2.69,889
Dell,Gaming,15.6,1920,5,8,356,2.56,879
Lenovo,2 in 1 Convertible,13.9,1920,7,8,356,1.38,1079
Dell,Notebook,15.6,1920,7,8,2276,2.2,985
HP,Notebook,15.6,1466,5,8,1024,2.04,559
Asus,Gaming,17.3,1920,7,16,356,3.6,2999
HP,Notebook,13.3,1920,5,4,500,1.49,675
Apple,Ultrabook,13.3,2560,5,8,612,1.37,2040
Dell,2 in 1 Convertible,15.6,1920,7,8,1024,2.08,819
Asus,Gaming,17.3,1920,7,16,1380,4.3,1799
Lenovo,2 in 1 Convertible,13.9,1920,7,8,612,1.37,1849
Acer,Notebook,17.3,1920,3,4,356,3,702
Dell,Ultrabook,13.3,1920,5,8,356,1.41,949
HP,Notebook,17.3,1920,7,16,1024,2.9,1059
MSI,Gaming,17.3,1920,7,16,1636,4.14,2499
Lenovo,2 in 1 Convertible,15.6,1920,7,8,612,2,1699
Dell,Notebook,17.3,1920,7,8,1252,2.8,1142
Lenovo,Notebook,15.6,1920,3,4,356,2.2,444
HP,Notebook,15.6,1920,5,4,500,2.1,722
Dell,Notebook,15.6,1920,5,4,1024,2.18,657
Dell,Notebook,15.6,1920,5,8,1024,2.24,565
Dell,2 in 1 Convertible,15.6,1920,5,8,356,2.67,799
Asus,2 in 1 Convertible,13.3,1920,7,8,1224,1.1,1499
Lenovo,Notebook,15.6,1920,5,4,1024,2.2,467
HP,Notebook,17.3,1920,7,8,1024,2.5,1018
Lenovo,Notebook,15.6,1920,7,8,356,2.05,880
Apple,Ultrabook,13.3,2560,5,8,612,1.37,1958.9
Dell,Notebook,15.6,1920,7,8,356,2.14,735.07
Lenovo,2 in 1 Convertible,14,2660,7,16,612,1.36,2499
Toshiba,Notebook,15.6,1366,7,8,500,2.2,812
Dell,Notebook,15.6,1366,7,12,1024,2.3,713.07
Dell,Notebook,17.3,1920,7,8,1252,2.8,1099
Acer,Notebook,15.6,1920,7,8,1024,2.2,745
Lenovo,Notebook,17.3,1600,3,4,1024,2.8,489
Lenovo,Notebook,17.3,1920,7,8,2048,2.8,849
Lenovo,Notebook,17.3,1600,7,6,1252,2.8,859
Dell,Notebook,15.6,1920,3,4,1024,2.25,428
Lenovo,Gaming,15.6,1920,5,8,356,2.5,829
Lenovo,Notebook,15.6,1920,5,6,356,2.2,579
Acer,Notebook,15.6,1920,7,8,356,3,951
Acer,Notebook,15.6,1920,7,12,1024,2.15,659
Lenovo,Notebook,15.6,1920,7,8,356,1.95,1097
Asus,Ultrabook,15.6,1920,5,8,356,1.7,977
Lenovo,Gaming,15.6,1920,7,16,1380,2.5,1179
Lenovo,Notebook,15.6,1920,7,8,1024,2.2,659.01
Asus,Gaming,17.3,1920,7,8,1024,3,1187
HP,Notebook,17.3,1600,3,8,1024,2.54,489
Dell,Notebook,15.6,1920,7,8,356,2,1829
Lenovo,Notebook,15.6,1920,5,8,356,2.05,739
Lenovo,Gaming,15.6,1920,7,8,1024,3.2,1299
Acer,Notebook,15.6,1920,7,8,356,2.5,979
Dell,Workstation,17.3,1920,7,16,356,3.42,2884.86
Asus,Ultrabook,15.6,1920,7,16,612,1.63,1468
Asus,Notebook,14,1366,3,4,228,1.3,509
Asus,Gaming,17.3,1920,7,16,1380,2.9,2122
Lenovo,Notebook,17.3,1600,5,6,1024,2.8,649
Lenovo,Notebook,15.6,1366,5,8,2048,2.2,549
Asus,Gaming,15.6,1920,7,8,1252,2.5,1265
HP,2 in 1 Convertible,13.3,1920,7,16,356,1.28,1975
Toshiba,Notebook,15.6,1920,7,8,356,2.2,1043
Lenovo,Notebook,15.6,1920,5,8,1252,2.3,819
HP,Notebook,15.6,1920,3,4,1024,1.86,469
Lenovo,Notebook,13.3,1920,5,8,356,1.1,999
Dell,Ultrabook,13.3,3840,7,16,1124,1.21,2499
MSI,Gaming,15.6,1920,7,16,1380,2.8,2099
Dell,Notebook,15.6,1920,5,8,1252,2.33,844
HP,2 in 1 Convertible,13.3,3840,7,16,1124,1.29,2449
HP,Notebook,14,1920,5,8,356,1.95,980
HP,Notebook,14,1920,7,8,356,1.48,1292
Lenovo,Notebook,17.3,1600,5,4,1024,2.79,589
Asus,Notebook,14,1920,7,8,356,2,1094
HP,Notebook,15.6,1366,7,8,1024,2.1,902
Acer,Notebook,15.6,1366,5,6,1024,2.23,549
Asus,Ultrabook,15.6,1920,7,8,356,1.7,1049.9
HP,Ultrabook,12.5,1920,7,8,356,1.26,1335
Dell,Notebook,15.6,3840,7,32,1124,2.06,2639
MSI,Gaming,17.3,1920,7,8,1380,2.7,1199
Toshiba,Notebook,15.6,1920,5,8,356,2,943
Asus,Notebook,14,1920,7,8,1380,2,1334
Lenovo,Notebook,15.6,1920,3,4,1024,1.85,449
Asus,Gaming,15.6,1920,7,8,356,2.5,999
HP,Notebook,14,1920,5,8,356,1.48,1268
Dell,Ultrabook,15.6,1920,5,8,1252,1.9,1049
HP,Notebook,15.6,1920,5,8,356,1.84,1144
Dell,Notebook,15.6,1920,5,8,356,2,1142.75
HP,Notebook,15.6,1920,3,8,1024,2.1,716
Lenovo,2 in 1 Convertible,13.9,3840,7,16,612,1.4,2099
Dell,Ultrabook,13.3,1920,7,8,356,1.2,1579
Lenovo,Gaming,15.6,1920,7,16,2404,2.4,1129
Dell,Ultrabook,15.6,1920,7,16,968,1.88,1607.96
Dell,Ultrabook,15.6,1920,5,8,1024,1.9,663
Dell,Notebook,15.6,3840,7,16,612,2.06,2027.42
HP,Notebook,15.6,1920,7,8,356,1.84,1304
MSI,Gaming,17.3,1920,7,8,1252,2.7,1409
HP,Workstation,15.6,1920,7,8,356,2.6,1738.27
Toshiba,Notebook,15.6,1920,7,16,612,2.4,1403
Dell,Notebook,15.6,1920,7,8,2276,2.02,970.9
Dell,Gaming,15.6,1920,5,8,1024,2.65,999
Dell,Notebook,15.6,1466,5,8,2048,2.36,557.37
Dell,Notebook,14,1920,5,8,356,1.36,1427
HP,Notebook,15.6,1366,3,4,500,1.86,439
Asus,Notebook,14,1920,5,8,356,2,945
Lenovo,Notebook,17.3,1600,5,6,1252,2.8,719
HP,Notebook,15.6,1920,5,8,1024,1.86,639
Lenovo,Notebook,15.6,1366,3,8,356,2.2,499
Dell,Notebook,17.3,1920,5,8,1252,2.8,1085
Lenovo,Gaming,15.6,1920,5,8,1252,2.4,809
Dell,Notebook,15.6,1920,7,8,356,2.33,899
HP,Ultrabook,14,1920,7,8,356,1.36,1750
Asus,2 in 1 Convertible,15.6,1920,7,12,2660,2.26,1099
Dell,2 in 1 Convertible,13.3,1920,7,8,356,1.62,869.01
Acer,Notebook,15.6,1920,7,8,1024,2.4,846
HP,Gaming,17.3,1920,7,8,1252,3.35,1191
Lenovo,Notebook,15.6,1920,3,4,228,1.85,403.5
Asus,Gaming,15.6,1920,7,8,1252,2.3,1655
Lenovo,Notebook,14,1920,5,8,356,1.5,1099
Asus,Ultrabook,13.3,1920,7,16,612,1.1,1748.9
Lenovo,Ultrabook,14,2560,7,8,612,1.13,2282
Lenovo,Notebook,13.3,1920,3,4,228,1.5,549
Dell,Workstation,15.6,1920,5,8,500,2.23,1369
Dell,Workstation,15.6,1920,7,8,356,2,2135
Lenovo,2 in 1 Convertible,14,2660,7,16,612,1.42,2509
Asus,Gaming,17.3,1920,7,8,1024,3,1039
Asus,Gaming,17.3,1920,7,16,1380,3,1591
Acer,Notebook,15.6,1366,5,12,1024,2.2,693.99
MSI,Gaming,17.3,1920,7,8,356,2.7,1349
Dell,Notebook,15.6,1920,7,8,356,2.33,778.87
Lenovo,Notebook,15.6,1920,7,8,356,2.1,1229.56
Lenovo,Notebook,14,1920,5,8,356,1.9,938
Dell,Workstation,15.6,3840,7,8,356,1.78,2712
Lenovo,Ultrabook,14,2560,7,16,1124,1.13,2625
Asus,Gaming,17.3,1920,7,16,1380,2.9,1529
Lenovo,Notebook,15.6,1920,5,8,1380,2.1,1144.5
Acer,Notebook,15.6,1920,7,8,356,2.5,879
MSI,Gaming,17.3,1920,7,16,1380,2.8,2249
Asus,Ultrabook,14,1920,7,8,612,1.1,1873
Toshiba,Ultrabook,13.3,1920,7,16,612,1.2,1747
Dell,Ultrabook,14,1920,7,8,612,1.36,1680
Lenovo,Notebook,15.6,1920,3,4,500,2.2,409
Lenovo,Workstation,15.6,1920,7,8,612,2.67,1925
Lenovo,Ultrabook,14,2560,7,8,612,1.7,1943
HP,Notebook,15.6,1920,3,4,1024,2.1,469
Acer,2 in 1 Convertible,13.3,1920,7,8,356,1.6,789.01
Asus,2 in 1 Convertible,13.3,1920,5,8,356,1.27,928
Dell,Notebook,15.6,1920,5,4,356,2.3,598.9
Dell,Notebook,13.3,1366,3,4,228,1.65,689
HP,Ultrabook,14,1920,7,8,356,1.43,1500
Dell,Notebook,15.6,1366,5,8,1024,2.14,539.95
Lenovo,Ultrabook,14,1920,7,8,356,1.75,1215.38
Lenovo,2 in 1 Convertible,15.6,3840,7,16,612,2,1899
HP,Notebook,15.6,1920,7,8,356,2.31,1427
Asus,Notebook,15.6,1920,3,8,1024,2.3,597
Dell,Gaming,17.3,2560,7,16,1380,4.42,2799
Dell,Gaming,15.6,1920,7,8,1252,2.62,1159
Dell,Notebook,15.6,1920,7,8,2404,2.02,1142.4
Dell,Ultrabook,14,1920,7,8,356,1.6,1099
HP,Gaming,17.3,1920,7,12,1380,3.35,1999
Lenovo,Notebook,13.3,1920,7,8,356,1.4,1010
Lenovo,Notebook,14,1920,3,4,228,1.7,599
Lenovo,Workstation,15.6,3840,7,16,612,2.3,2445
Lenovo,Notebook,15.6,1920,7,16,612,2.5,2449
Google,Ultrabook,12.3,2500,7,16,612,1.1,2199
Lenovo,Ultrabook,14,2560,7,24,612,1.32,2382
Asus,Notebook,15.6,1920,5,4,356,2,559
Dell,Notebook,15.6,1920,5,4,356,2.2,749
Lenovo,Ultrabook,12.5,1920,5,8,356,1.36,1429
HP,Gaming,15.6,1920,7,8,1252,2.2,1099
Dell,Notebook,14,1920,5,8,356,1.64,1179
Acer,Notebook,15.6,1366,5,4,500,2.4,441.8
MSI,Gaming,15.6,1920,5,8,356,2.2,1027.74
Microsoft,Ultrabook,13.5,2256,7,16,612,1.25,2589
HP,Notebook,15.6,1366,5,8,228,1.91,589
Dell,Workstation,15.6,1920,7,16,356,2.17,1975
HP,Workstation,15.6,1920,7,8,612,2.31,1534
Lenovo,Notebook,14,1920,5,8,356,1.65,1345
Dell,Notebook,15.6,1920,7,8,1252,2.36,979
Dell,Notebook,17.3,1920,7,8,1024,4.42,2046
Microsoft,Ultrabook,13.5,2256,7,8,356,1.25,1799
HP,Notebook,17.3,1600,3,8,356,2.5,639.9
Acer,Notebook,15.6,1920,3,4,1024,2.23,544
Asus,Notebook,15.6,1920,5,8,1024,2.37,749
Lenovo,Notebook,14,1920,7,8,612,1.5,799
Lenovo,Notebook,15.6,1920,7,8,356,2.67,2090
Acer,Notebook,15.6,1366,3,4,500,2.2,469
Dell,Notebook,15.6,1920,5,8,2048,2.02,759
HP,Gaming,17.3,1920,7,12,1024,3.78,1699
Lenovo,Ultrabook,14,2660,7,12,356,1.4,1858
HP,2 in 1 Convertible,13.3,3840,7,8,612,1.29,1999
HP,Notebook,15.6,1920,5,8,500,1.9,1154
Google,Ultrabook,12.3,2500,5,8,228,1.1,1275
Dell,Ultrabook,13.3,1920,5,8,356,1.42,1841.85
Asus,Notebook,15.6,3840,7,12,1252,2.06,1299
Dell,Notebook,14,1366,3,8,228,1.79,740
Dell,Workstation,15.6,1920,7,8,356,1.78,2408
Lenovo,Notebook,14,1920,5,8,280,1.7,1364
Dell,Notebook,15.6,1920,5,8,1024,2.2,675
Toshiba,Notebook,13.3,1920,5,8,356,1.05,1672
Dell,Notebook,15.6,1920,7,8,612,2.16,1262
Dell,Notebook,15.6,1366,3,4,1024,2.18,586.6
HP,Notebook,13.3,1920,5,4,228,1.49,726
Lenovo,Notebook,15.6,1366,3,4,228,2.3,565
Lenovo,Notebook,14,1920,5,8,356,1.75,1049
Dell,Workstation,15.6,1920,7,16,612,2.17,2338
Dell,Notebook,15.6,1920,7,16,612,2.06,1899
Lenovo,Ultrabook,12.5,1920,7,16,612,1.36,1798
Asus,Ultrabook,12.5,1920,7,16,612,0.91,1950
Lenovo,Notebook,15.6,1920,5,8,356,2.3,1011.99
Toshiba,Ultrabook,13.3,1920,7,32,612,1.05,2799
Asus,Gaming,15.6,1920,7,8,1252,1.99,1350
Asus,Gaming,17.3,1920,7,24,1380,4.33,1269
Lenovo,Ultrabook,12.5,1366,5,8,280,1.3,1099
Lenovo,Notebook,15.6,1920,7,8,356,2.17,898.9
HP,Notebook,14,1920,7,8,1124,1.48,1749
Lenovo,Notebook,13.3,1920,3,8,356,1.4,949
Lenovo,Notebook,15.6,1920,5,8,356,2.3,911
HP,Notebook,15.6,1366,5,8,356,1.91,618.99
Lenovo,2 in 1 Convertible,13.9,1920,5,8,356,1.4,1599
Lenovo,Notebook,13.3,1920,5,8,356,1.44,949
Asus,Notebook,15.6,1920,7,8,1380,2,1224
Acer,Notebook,15.6,1920,5,4,1024,2.2,613
HP,Ultrabook,13.3,1920,7,8,612,1.34,1323
Lenovo,Gaming,15.6,1920,7,8,1380,2.4,1149
Dell,Ultrabook,13.3,1920,5,8,228,1.29,899
Acer,Notebook,15.6,1920,7,4,500,2.2,639
Dell,Notebook,15.6,1920,5,8,1024,2.18,836
Dell,Notebook,15.6,1920,7,16,2404,2.2,1219.24
Xiaomi,Notebook,15.6,1920,7,16,356,1.95,1399.95
HP,Notebook,15.6,1466,5,4,1024,2.04,521.47
Asus,Gaming,15.6,1920,7,24,612,2.24,2968
HP,Notebook,15.6,1920,5,8,356,2.04,889
Asus,Gaming,17.3,1920,7,16,1380,3,1504
Lenovo,Gaming,15.6,1920,7,8,1380,3.2,1399
HP,Ultrabook,13.3,1920,7,8,356,1.32,1399
Dell,Notebook,14,1920,5,8,356,1.64,1279.73
HP,Notebook,15.6,1366,3,4,228,1.63,689
Dell,Notebook,17.3,1920,5,8,1252,2.8,889
Lenovo,Notebook,14,1920,5,8,356,2.02,1340
Lenovo,Notebook,15.6,1920,7,4,1024,2.2,799
Lenovo,Notebook,15.6,1366,3,8,2048,2.2,459
Dell,Notebook,15.6,1920,5,4,500,2.3,585
Dell,Notebook,15.6,1920,5,8,356,1.9,1377
Dell,Gaming,17.3,1920,7,16,1252,4.42,3012.77
Toshiba,Notebook,15.6,1920,5,8,500,2,860
Asus,Notebook,15.6,3840,7,8,1380,2,1299
Asus,Gaming,15.6,1920,5,8,1252,2.3,1649
Dell,Notebook,15.6,1920,7,8,356,1.93,1369
Dell,Notebook,15.6,1920,5,8,356,2.2,797.41
HP,Gaming,17.3,1920,7,12,1024,2.62,1799
Lenovo,Notebook,14,1920,7,8,356,1.87,859
Dell,Ultrabook,13.3,3200,7,8,356,1.2,1399
Dell,Notebook,14,1920,3,4,228,1.6,735.87
HP,Ultrabook,13.3,3200,7,8,356,1.34,1145
Acer,Gaming,15.6,1920,5,8,1024,2.4,798
HP,Notebook,15.6,1920,3,4,228,2.1,705.5
Lenovo,Notebook,14,1920,5,4,500,1.87,785
